"arv";"hi1";"hi2";"xvisc1";"xvisc2";"dap1";"dap2";"ht1";"ht2";"disc1";"disc2";"dmte1";"dmte2";"vmte"
26;2;4;0,050768137;0,0495115;19,6;19,6;27;27;17,81;16,39;18,0035180548737;16,8947883029105;0,0475866485363328
26;4;6;0,0495115;0,040840704;19,6;19,6;27;27;16,39;15,52;16,8947883029105;15,8855413493596;0,0421613360399658
26;6;9;0,040840704;0,050642474;19,6;19,6;27;27;15,52;14,34;15,8855413493596;14,4362479216827;0,0544920445620811
26;9;12;0,050642474;0,040715041;19,6;19,6;27;27;14,34;12,4;14,4362479216827;12,7406355462713;0,0436233691035071
26;12;15;0,040715041;0,030913272;19,6;19,6;27;27;12,4;10,58;12,7406355462713;10,8568503764786;0,0329348909542666
26;15;23;0,030913272;0,040589377;19,6;19,6;27;27;10,58;4,91;10,8568503764786;4,92957827527023;0,042229507194673
27;2;4;0,037573448;0,035060174;16,34;16,34;25,3;25,3;15,59;14,48;15,0480799695964;14,1708163099712;0,0335525152528645
27;4;11;0,035060174;0,047626545;16,34;16,34;25,3;25,3;14,48;11,94;14,1708163099712;10,9183422358587;0,0874482411697454
27;11;14;0,047626545;0,024378759;16,34;16,34;25,3;25,3;11,94;9,89;10,9183422358587;9,25839676098642;0,0240732066341356
27;14;21;0,024378759;0,029907962;16,34;16,34;25,3;25,3;9,89;5;9,25839676098642;4,69041180813571;0,0286167720711686
28;1,3;3;0,034054864;0,044484952;19,79;19,79;26,8;26,8;18,7;17,54;18,5902857425571;17,5462362233888;0,0436928859790082
28;3;4;0,044484952;0,025132741;19,79;19,79;26,8;26,8;17,54;17,13;17,5462362233888;17,0388317373781;0,0234792312798542
28;4;6;0,025132741;0,041343359;19,79;19,79;26,8;26,8;17,13;15,69;17,0388317373781;16,0093427686338;0,042851930079466
28;6;8;0,041343359;0,036693802;19,79;19,79;26,8;26,8;15,69;14,95;16,0093427686338;15,0601143453444;0,0380305167099598
28;8;10;0,036693802;0,031918581;19,79;19,79;26,8;26,8;14,95;13,64;15,0601143453444;13,9605139171449;0,0331355359668536
28;10;13;0,031918581;0,038830085;19,79;19,79;26,8;26,8;13,64;11,67;13,9605139171449;12,1680565979149;0,0405325483178252
28;13;17;0,038830085;0,036442475;19,79;19,79;26,8;26,8;11,67;9,27;12,1680565979149;9,48006112265356;0,0371624179259437
29;4;19;0,045364598;0,045992916;13,17;13,17;24;24;11,75;4,73;11,5024750522228;4,51649391788813;0,0850929475156398
30;3;6;0,051773447;0,044610616;16,24;16,24;24,9;24,9;15,05;13,43;14,5125702705773;13,1631518857115;0,0452922093481477
30;6;10;0,044610616;0,046495571;16,24;16,24;24,9;24,9;13,43;11,18;13,1631518857115;11,3318860958047;0,0473628852177549
30;10;14;0,046495571;0,032169909;16,24;16,24;24,9;24,9;11,18;8,81;11,3318860958047;9,06741722714737;0,0328013046303167
30;14;21;0,032169909;0,027017697;16,24;16,24;24,9;24,9;8,81;4,74;9,06741722714737;4,39731598529338;0,0268566604407344
31;2;7;0,040715041;0,049134509;17,23;17,23;24,3;24,3;15,72;13,34;15,8120918542532;13,3718903583969;0,0840276820601282
31;7;12;0,049134509;0,056925659;17,23;17,23;24,3;24,3;13,34;11,02;13,3718903583969;10,5819387557298;0,0572633169668185
32;2;4;0,042097342;0,039081413;18,17;18,17;25,8;25,8;16,31;15,35;16,6955559630839;15,6830220046329;0,0410928425485847
32;4;7;0,039081413;0,049637164;18,17;18,17;25,8;25,8;15,35;13,77;15,6830220046329;14,2506931988287;0,0526259832045125
32;7;10;0,049637164;0,039835395;18,17;18,17;25,8;25,8;13,77;12,65;14,2506931988287;12,73133587674;0,0430719014551913
32;10;14;0,039835395;0,039207076;18,17;18,17;25,8;25,8;12,65;9,69;12,73133587674;10,3462671836355;0,042104614806063
33;1,3;2;0,037950439;0,022242476;20,98;20,98;27,6;27,6;19,79;19,27;19,694543565368;19,2461754006889;0,0207998304272535
33;2;3;0,022242476;0,028023006;20,98;20,98;27,6;27,6;19,27;18,34;19,2461754006889;18,5582992625631;0,0280910479047166
33;3;4;0,028023006;0,028023006;20,98;20,98;27,6;27,6;18,34;18,59;18,5582992625631;18,0334214923509;0,0262720932558018
33;4;5;0,028023006;0,025132741;20,98;20,98;27,6;27,6;18,59;17,62;18,0334214923509;17,5039736319109;0,0248235752010567
33;5;6;0,025132741;0,022996458;20,98;20,98;27,6;27,6;17,62;17,13;17,5039736319109;16,9738903786057;0,0233912465524034
33;6;8;0,022996458;0,042348669;20,98;20,98;27,6;27,6;17,13;15,97;16,9738903786057;16,0145114338003;0,0429195836374405
33;8;10;0,042348669;0,036693802;20,98;20,98;27,6;27,6;15,97;14,57;16,0145114338003;14,8773524912639;0,0375349754654005
33;10;13;0,036693802;0,043856633;20,98;20,98;27,6;27,6;14,57;12,75;14,8773524912639;13,072996309464;0,0465100354830391
33;13;17;0,043856633;0,042223005;20,98;20,98;27,6;27,6;12,75;9,99;13,072996309464;10,3305734521225;0,0433146100458467
34;0,2;0,7;0,01897522;0,013697344;18,26;18,26;27,9;27,9;19,87;18,12;20,0420063293679;17,8362113227024;0,0139321277069613
34;0,7;2;0,013697344;0,039584067;18,26;18,26;27,9;27,9;18,12;17,33;17,8362113227024;16,8337807743326;0,0302257980350604
34;2;3;0,039584067;0,021488494;18,26;18,26;27,9;27,9;17,33;16,79;16,8337807743326;16,2841859362839;0,0215174546373515
34;3;4;0,021488494;0,022493803;18,26;18,26;27,9;27,9;16,79;16,36;16,2841859362839;15,8421023760546;0,0202630440126665
34;4;5;0,022493803;0,02136283;18,26;18,26;27,9;27,9;16,36;15,6;15,8421023760546;15,3809283475424;0,0191883849544911
34;5;6;0,02136283;0,018849556;18,26;18,26;27,9;27,9;15,6;15,28;15,3809283475424;14,9449038116221;0,0180848711462979
34;6;8;0,018849556;0,036191147;18,26;18,26;27,9;27,9;15,28;14,55;14,9449038116221;14,1256375922708;0,033228532310277
34;8;10;0,036191147;0,03154159;18,26;18,26;27,9;27,9;14,55;13,4;14,1256375922708;13,2083317139677;0,0293917004826178
34;10;13;0,03154159;0,038830085;18,26;18,26;27,9;27,9;13,4;11,78;13,2083317139677;11,6505977603962;0,0365085311445272
34;13;24;0,038830085;0,031164599;18,26;18,26;27,9;27,9;11,78;4,49;11,6505977603962;4,53287550800246;0,063323794098617
35;2;4;0,045615925;0,020860175;18,16;18,16;27,3;27,3;16,73;15,59;16,7290004870703;15,7384799445196;0,0412266310365321
35;4;5;0,020860175;0,018849556;18,16;18,16;27,3;27,3;15,59;15,29;15,7384799445196;15,2638311648117;0,0189248224803121
35;5;6;0,018849556;0,030661944;18,16;18,16;27,3;27,3;15,29;14,93;15,2638311648117;14,8227383827188;0,0177975923264096
35;6;9;0,030661944;0,049008845;18,16;18,16;27,3;27,3;14,93;13,4;14,8227383827188;13,5207117196297;0,0474853722428947
35;9;12;0,049008845;0,038830085;18,16;18,16;27,3;27,3;13,4;11,94;13,5207117196297;11,971970403053;0,0384925901788277
35;12;16;0,038830085;0,037950439;18,16;18,16;27,3;27,3;11,94;9,6;11,971970403053;9,6871915727171;0,0370812268504741
35;16;23;0,037950439;0,032421236;18,16;18,16;27,3;27,3;9,6;5,72;9,6871915727171;4,88255759979314;0,0309743748842995
36;2;3;0,034180528;0,017592919;15,96;15,96;27,1;27,1;14,83;14,13;14,7514444998367;14,3165932447015;0,0165301379037789
36;3;6;0,017592919;0,030033626;15,96;15,96;27,1;27,1;14,13;13,39;14,3165932447015;13,119733827851;0,0445053634403888
36;6;9;0,030033626;0,039458404;15,96;15,96;27,1;27,1;13,39;12,45;13,119733827851;11,9837983835437;0,0371115529642664
36;9;12;0,039458404;0,033300882;15,96;15,96;27,1;27,1;12,45;11,32;11,9837983835437;10,5987727753668;0,030332070015971
36;12;16;0,033300882;0,032798227;15,96;15,96;27,1;27,1;11,32;9,11;10,5987727753668;8,61521925237315;0,0291350490897418
36;16;23;0,032798227;0,028274334;15,96;15,96;27,1;27,1;9,11;4,85;8,61521925237315;4,30513124553798;0,0244377601903848
38;3;6;0,03694513;0,029907962;12,99;12,99;23,6;23,6;11,89;10,65;11,7046610309745;10,570475533708;0,0293737105939173
38;6;11;0,029907962;0,036316811;12,99;12,99;23,6;23,6;10,65;8,26;10,570475533708;8,47011948240293;0,0361300738018478
39;1,3;2;0,021614157;0,011686725;16,25;16,25;25,9;25,9;15,25;14,76;15,3160059373621;14,9833356908489;0,0125935176445128
39;2;3;0,011686725;0,016336282;16,25;16,25;25,9;25,9;14,76;14,31;14,9833356908489;14,5428984716005;0,017038336781378
39;3;5;0,016336282;0,030159289;16,25;16,25;25,9;25,9;14,31;13,42;14,5428984716005;13,655423809113;0,0313393298436022
39;5;6;0,030159289;0,013697344;16,25;16,25;25,9;25,9;13,42;13,22;13,655423809113;13,2552582852683;0,0142259676589656
39;6;8;0,013697344;0,025509732;16,25;16,25;25,9;25,9;13,22;12,17;13,2552582852683;12,4322304277925;0,0258963607296792
39;8;11;0,025509732;0,031038935;16,25;16,25;25,9;25,9;12,17;10,85;12,4322304277925;11,0018293479268;0,0326377532581217
39;11;15;0,031038935;0,029907962;16,25;16,25;25,9;25,9;10,85;8,45;11,0018293479268;8,89313563454371;0,031267569443911
40;0,7;1,3;0,023247786;0,015456636;19,87;19,87;28,7;28,7;19,33;18,74;19,4454565871164;18,6885491716768;0,0169101734075479
40;1,3;2;0,015456636;0,019352211;19,87;19,87;28,7;28,7;18,74;18,7;18,6885491716768;18,2917193043733;0,0187391122927424
40;2;3;0,019352211;0,024253095;19,87;19,87;28,7;28,7;18,7;17,98;18,2917193043733;17,654272716009;0,0254024025700265
